date;time;lng;lat;injured;killed
2020-09-24;20:15;-73.75372;40.609535;0;0
2020-09-24;20:20;-73.81695;40.66535;4;0
2020-09-24;20:22;-73.93516;40.620995;0;0
2020-09-24;20:30;-73.87342;40.734375;1;0
2020-09-24;20:36;-73.89413;40.818348;0;0
2020-09-24;20:40;-73.95837;40.768803;0;0
2020-09-24;20:50;-73.94221;40.669403;1;0
2020-09-24;20:53;-73.92238;40.83611;1;0
2020-09-24;21:04;-73.95504;40.618557;0;0
2020-09-24;21:13;-73.93005;40.829945;1;0
2020-09-24;21:16;-73.95322;40.714104;6;0
2020-09-24;21:19;-73.9105;40.830738;1;0
2020-09-24;21:30;-73.88086;40.66278;1;0
2020-09-24;21:32;-73.87343;40.830822;0;0
2020-09-24;22:20;-73.913284;40.635506;1;0
2020-09-24;22:33;-73.94111;40.849007;1;0
2020-09-24;22:43;-73.84966;40.904804;1;0
2020-09-24;22:45;-73.960205;40.698463;0;0
2020-09-24;22:50;-73.84112;40.876442;0;0
2020-09-24;23:00;-73.8271;40.692184;0;0
2020-09-24;23:00;-73.897575;40.655983;4;0
2020-09-24;23:25;-73.956375;40.640396;0;0
2020-09-24;23:30;-73.92445;40.844795;0;0
2020-09-24;23:35;-73.972046;40.72656;0;0
2020-09-24;23:35;-73.85485;40.875458;5;0
2020-09-24;23:50;-73.97952;40.73978;1;0
2020-09-24;23:55;-73.73207;40.675255;1;0
2020-09-24;2:00;-73.835594;40.770115;0;0
2020-09-24;2:10;-73.990845;40.718624;0;0
2020-09-24;2:18;-73.76389;40.66546;0;0
2020-09-24;2:20;-73.94768;40.81494;0;0
2020-09-24;2:30;-73.91203;40.767555;1;0
2020-09-24;2:50;-73.83455;40.681175;0;0
2020-09-24;3:28;-73.92251;40.809616;1;0
2020-09-24;4:06;-73.93076;40.81766;0;0
2020-09-24;4:30;-73.99482;40.718456;0;0
2020-09-24;4:38;-73.8876;40.704216;0;0
2020-09-24;4:40;-73.87039;40.83609;0;0
2020-09-24;4:45;-73.986565;40.761658;1;0
2020-09-24;5:29;-73.78254;40.597824;0;0
2020-09-24;5:45;-74.16604;40.623714;0;0
2020-09-24;5:45;-73.91206;40.83501;1;0
2020-09-24;5:46;-73.98042;40.582977;0;0
2020-09-24;5:50;-73.85025;40.662178;0;0
2020-09-24;5:57;-73.95306;40.656082;2;0
2020-09-24;6:20;-73.866844;40.85048;0;0
2020-09-24;6:20;-73.960075;40.676758;1;0
2020-09-24;6:30;-73.90669;40.65386;0;0
2020-09-24;6:48;-73.850784;40.88045;0;0
2020-09-24;6:55;-73.81876;40.787678;1;0
2020-09-24;7:00;-73.91507;40.8716;0;0
2020-09-24;7:00;-73.838905;40.761143;2;0
2020-09-24;7:07;-73.95741;40.77012;2;0
2020-09-24;7:15;-73.81665;40.8342;0;0
2020-09-24;7:20;-73.95922;40.64053;0;0
2020-09-24;7:20;-74.166046;40.639484;0;0
2020-09-24;7:20;-73.98193;40.719456;1;0
2020-09-24;7:26;-73.86851;40.861362;0;0
2020-09-24;7:30;-73.89372;40.583725;1;0
2020-09-24;7:31;-73.93314;40.58487;0;0
2020-09-24;7:50;-73.90638;40.6828;0;0
2020-09-24;8:00;-73.98477;40.59942;0;0
2020-09-24;8:00;-73.93089;40.848118;0;0
2020-09-24;8:00;-73.80091;40.859547;0;0
2020-09-24;8:00;-73.91727;40.77077;2;0
2020-09-24;8:05;-73.93925;40.689022;1;0
2020-09-24;8:30;-73.87519;40.76824;0;0
